MONTH,All_items,Food,Food at home,Food away from home,Energy,Gasoline (all types),Electricity,Natural gas (piped),All items less food and energy,Commodities less food and energy commodities,Apparel,New vehicles,Medical care commodities,Services less energy services,Shelter,Medical care services,Education and communication
2004-09-01,2.50,3.30,3.30,3.30,6.70,9.60,1.60,6.20,2.00,-0.60,-0.70,-1.10,2.30,3.00,3.00,5.00,1.80
2004-10-01,3.20,3.40,3.50,3.30,15.20,26.60,0.90,8.00,2.00,0.10,-0.60,-0.40,2.60,2.80,2.70,5.10,1.40
2004-11-01,3.50,3.20,3.10,3.20,19.20,30.90,2.30,17.10,2.20,0.50,-0.10,0.30,2.70,2.80,2.70,5.00,1.70
2004-12-01,3.30,2.70,2.40,3.00,16.60,26.10,2.10,16.40,2.20,0.60,-0.20,0.60,2.20,2.80,2.70,4.90,1.50
2005-01-01,3.00,2.90,2.70,3.20,10.60,14.30,3.50,11.20,2.30,0.90,0.30,1.30,2.30,2.80,2.70,5.00,1.40
2005-02-01,3.00,2.60,2.20,3.20,10.40,14.70,3.20,9.00,2.40,0.70,0.10,1.20,2.30,3.00,3.00,5.00,1.40
2005-03-01,3.10,2.50,2.10,3.20,12.40,16.80,4.30,10.90,2.30,0.60,0.00,0.90,2.20,3.00,3.00,5.00,1.40
2005-04-01,3.50,3.10,3.10,3.20,17.10,24.20,4.10,16.40,2.20,0.50,-0.50,0.90,1.90,2.90,2.70,5.00,1.80
2005-05-01,2.80,2.40,2.00,3.20,9.90,10.30,5.00,14.70,2.20,0.60,-0.80,0.90,2.00,2.70,2.40,5.00,1.90
2005-06-01,2.50,2.20,1.40,3.30,7.30,6.90,5.60,7.70,2.00,0.40,-1.50,0.70,2.20,2.70,2.40,4.80,1.80
2005-07-01,3.20,2.10,1.40,3.10,14.20,19.50,5.50,10.60,2.10,0.50,-1.80,0.30,2.40,2.80,2.50,4.80,1.80
2005-08-01,3.60,2.20,1.50,3.10,20.20,31.30,5.70,11.90,2.10,0.70,-0.60,0.10,2.50,2.70,2.40,4.40,1.80
2005-09-01,4.70,2.50,2.10,3.00,34.80,54.80,6.40,28.10,2.00,0.60,-0.60,0.70,2.50,2.50,1.90,4.40,2.10
