ANO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
1969,0.01159484,0.01163646,0.01164794,0.01167951,0.01167951,0.01172113,0.01176562,0.01177855,0.01188905,0.01201391,0.01201535,0.01210576
1970,0.01219762,0.01219618,0.01223206,0.01224785,0.01227368,0.01234831,0.01240859,0.01246599,0.01249613,0.01250044,0.01256790,0.01267410
1971,0.01279896,0.01285206,0.01290085,0.01296688,0.01299415,0.01305299,0.01304294,0.01316206,0.01320511,0.01321803,0.01323956,0.01330271
1972,0.01336155,0.01340317,0.01347637,0.01356104,0.01358831,0.01368877,0.01374044,0.01383086,0.01389400,0.01390405,0.01399446,0.01404183
1973,0.01424562,0.01436331,0.01448960,0.01471923,0.01487567,0.01499766,0.01538229,0.01562914,0.01600085,0.01620608,0.01640557,0.01704279
1974,0.01765274,0.01805172,0.01819094,0.01843779,0.01858275,0.01876645,0.01903770,0.01923862,0.01945677,0.01984283,0.02039394,0.02055325
1975,0.02081589,0.02093070,0.02106274,0.02124070,0.02152487,0.02189084,0.02206593,0.02225681,0.02241899,0.02253380,0.02269167,0.02287681
1976,0.02331885,0.02375514,0.02398764,0.02415556,0.02432491,0.02442250,0.02462917,0.02486454,0.02571273,0.02716083,0.02838791,0.02909976
1977,0.03002689,0.03068995,0.03122527,0.03169744,0.03197587,0.03236767,0.03273365,0.03340531,0.03399804,0.03425781,0.03463239,0.03511174
1978,0.03589248,0.03640771,0.03678660,0.03719563,0.03756016,0.03807683,0.03872266,0.03910873,0.03955507,0.04003442,0.04044631,0.04078932
1979,0.04223742,0.04284450,0.04342575,0.04381469,0.04438876,0.04488103,0.04542496,0.04611242,0.04667788,0.04749306,0.04810445,0.04895551
1980,0.05134222,0.05252912,0.05360981,0.05454698,0.05543680,0.05653615,0.05811485,0.05931896,0.05997772,0.06088618,0.06194248,0.06356711
1981,0.06561511,0.06722682,0.06866487,0.07021344,0.07127547,0.07227149,0.07354449,0.07506005,0.07645648,0.07815287,0.07965694,0.08180110
1982,0.08586554,0.08923965,0.09249895,0.09751204,0.10299301,0.10795443,0.11351720,0.12625588,0.13299550,0.13989012,0.14696270,0.16265642
1983,0.18035509,0.19003396,0.19923205,0.21184586,0.22103390,0.22940389,0.24074613,0.25009061,0.25778750,0.26634118,0.28198324,0.29404738
1984,0.31272772,0.32923232,0.34330428,0.35815555,0.37003169,0.38342338,0.39599271,0.40724884,0.41938044,0.43403365,0.44892941,0.46799582
1985,0.50271145,0.52359622,0.54388540,0.56062106,0.57390224,0.58827559,0.60876282,0.63537685,0.66075231,0.68585222,0.71749513,0.76634013
1986,0.83409223,0.87117448,0.91166672,0.95926311,1.01257010,1.07756664,1.13133289,1.22153124,1.29481167,1.36882403,1.46130432,1.57673463
1987,1.70440129,1.82738639,1.94815270,2.11860646,2.27832506,2.44314573,2.64102153,2.85687155,3.04508140,3.29884463,3.56051142,4.08639246
1988,4.71824594,5.11178304,5.37354743,5.53894074,5.64610869,5.76129214,5.85745654,5.91134334,5.94513902,5.99048648,6.07065435,6.19731639
1989,6.34902379,6.43518354,6.50494490,6.60222445,6.69309877,6.77438464,6.84214822,6.90733278,6.97339280,7.07652502,7.17585544,7.41802958
1990,7.77603730,7.95211985,8.09230992,8.21547155,8.35883768,8.54293859,8.69873483,8.84695044,8.97306137,9.10205989,9.34372310,9.63821395
1991,9.88387990,10.05642472,10.19983964,10.30668755,10.40744167,10.51664758,10.60958427,10.68342298,10.78985037,10.91534274,11.18637410,11.44967987
1992,11.65777847,11.79590044,11.91594772,12.02217132,12.10143789,12.18334519,12.26027241,12.33559223,12.44289652,12.53249354,12.63662034,12.81655348
1993,12.97731976,13.08334531,13.15959369,13.23548040,13.31113749,13.38579712,13.45012344,13.52211219,13.62226067,13.67797303,13.73830236,13.84305490
1994,13.95037498,14.02212406,14.09422476,14.16325130,14.23168224,14.30289457,14.36632677,14.43328665,14.53593664,14.61224530,14.69036086,14.81920437
1995,15.37699094,16.02870735,16.97361720,18.32613326,19.09209019,19.69802427,20.09958836,20.43298127,20.85564253,21.28476212,21.80960838,22.52016727
